Init xI yI Goal xG yG LL
52 5 2 32 3 2 -659.618
52 5 2 33 3 3 -497.596
52 5 2 34 3 4 -203.022
52 5 2 35 3 5 -197.909
52 5 2 41 4 1 -203.067
52 5 2 42 4 2 -214.836
52 5 2 43 4 3 -233.531
52 5 2 44 4 4 -201.141
52 5 2 45 4 5 -200.306
52 5 2 51 5 1 -194.101
52 5 2 52 5 2 -563.697
52 5 2 53 5 3 -219.68
52 5 2 54 5 4 -216.675
52 5 2 55 5 5 -197.716
53 5 3 11 1 1 -222.54
53 5 3 12 1 2 -478.979
53 5 3 13 1 3 -494.334
53 5 3 14 1 4 -481.145
53 5 3 15 1 5 -478.045
53 5 3 21 2 1 -477.347
53 5 3 22 2 2 -483.157
53 5 3 23 2 3 -483.613
53 5 3 24 2 4 -222.992
53 5 3 25 2 5 -476.262
53 5 3 31 3 1 -943.33
53 5 3 32 3 2 -421.018
53 5 3 33 3 3 -509.588
53 5 3 34 3 4 -222.287
53 5 3 35 3 5 -479.363
53 5 3 41 4 1 -231.478
53 5 3 42 4 2 -485.35
53 5 3 43 4 3 -258.411
53 5 3 44 4 4 -475.137
53 5 3 45 4 5 -242.362
53 5 3 51 5 1 -231.983
53 5 3 52 5 2 -476.747
53 5 3 53 5 3 -449.46
53 5 3 54 5 4 -233.402
53 5 3 55 5 5 -221.414
54 5 4 11 1 1 -493.93
54 5 4 12 1 2 -770.33
54 5 4 13 1 3 -504.628
54 5 4 14 1 4 -503.989
54 5 4 15 1 5 -508.747
54 5 4 21 2 1 -331.382
54 5 4 22 2 2 -249.853
54 5 4 23 2 3 -331.301
54 5 4 24 2 4 -506.733
54 5 4 25 2 5 -505.31
54 5 4 31 3 1 -492.244
54 5 4 32 3 2 -690.865
54 5 4 33 3 3 -504.01
54 5 4 34 3 4 -493.024
54 5 4 35 3 5 -503.074
54 5 4 41 4 1 -270.285
54 5 4 42 4 2 -536.225
54 5 4 43 4 3 -285.433
54 5 4 44 4 4 -494.274
54 5 4 45 4 5 -511.155
54 5 4 51 5 1 -494.669
54 5 4 52 5 2 -273.285
54 5 4 53 5 3 -323.159
54 5 4 54 5 4 -484.183
54 5 4 55 5 5 -516.749
55 5 5 11 1 1 -355.113
55 5 5 12 1 2 -356.284
55 5 5 13 1 3 -352.386
55 5 5 14 1 4 -332.442
55 5 5 15 1 5 -356.2
55 5 5 21 2 1 -355.393
55 5 5 22 2 2 -517.029
55 5 5 23 2 3 -353.183
55 5 5 24 2 4 -518.712
55 5 5 25 2 5 -360.687
55 5 5 31 3 1 -354.165
55 5 5 32 3 2 -362.017
55 5 5 33 3 3 -360.093
55 5 5 34 3 4 -519.266
55 5 5 35 3 5 -360.586
55 5 5 41 4 1 -329.57
55 5 5 42 4 2 -376.886
55 5 5 43 4 3 -348.316
55 5 5 44 4 4 -522.248
55 5 5 45 4 5 -358.03
55 5 5 51 5 1 -308.206
55 5 5 52 5 2 -329.144
55 5 5 53 5 3 -348.505
55 5 5 54 5 4 -278.592
55 5 5 55 5 5 -667.867
